
               LEAST-SQUARES LINEAR REGRESSION OF LEVEL AND GAMMA ENERGIES
 
        LEVEL ENERGIES
    1.     0.0
    2.  1077.39 5                       
    3.  1655.94 11                      
    4.  1883.16 5                       
    5.  2338.41 7                       
    6.  2417.39 7                       
    7.  2750.73 8                       
    8.  2821.69 11                      
    9.  2959.41 15                      
   10.  3009.24 7                       
   11.  3184.18 13                      
   12.  3281.58 14                      
   13.  3287.04 11                      
   14.  3424.92 18                      
   15.  3429.44 12                      
   16.  3458.66 17                      
   17.  3495.78 24                      
   18.  3587.15 19                      
   19.  3630.29 11                      
   20.  3664.64 24                      
   21.  3725.83 16                      
   22.  3776.29 22                      
   23.  3849.29 21                      
   24.  3895.82 16                      
   25.  3910.93 19                      
   26.  3935.10 15                      
   27.  4027.5 3                        
   28.  4139.7 4                        
   29.  4215.3 4                        
   30.  4283.9 3                        
   31.  4408.6 3                        
   32.  4512.2 3                        
   33.  4520.5 4                        
   34.  4535.6 3                        
   35.  4723.8 4                        
   36.  4733.0 4                        
   37.  4851.4 3                        
   38.  4857.9 5                        
   39.  4910.5 3                        
   40.  4951.7 3                        
   41.  4963.3 5                        
   42.  4991.6 5                        
   43.  5187.1 4                        
   44.  5283.6 3                        
   45.  5298.1 3                        
   46.  5306.8 5                        
   47.  5400.3 4                        
   48.  5403.1 4                        
   49.  5415.1 5                        
   50.  5565.2 4                        
   51.  5693.4 5                        
   52. 10198.07 12                      
 
   GAMMA ENERGIES
       67ZN(N,G) E=THERMA-  ENERGY     DE    L1  L2
            1274.8 8            1274.7 3    30 10                                                                                   
            1276.9 6            1276.8 3    27  7                                                                                   
          1300.87 20          1301.01 13    11  4                                                                                   
           1339.96 6           1339.99 5     6  2                                                                                   
    (1    1387.21 19          1387.41 15    21  5                                                                                   
            1403.7 3          1403.87 11    13  4                                                                                   
          1431.86 22          1431.88 20    23  6                                                                                   
          1437.76 24          1437.87 21    22  5                                                                                   
            1448.8 5            1449.2 3    31  9                                                                                   
          1478.31 18          1478.41 15    24  6                                                                                   
            1493.5 3          1493.52 18    25  6                                                                                   
            1511.1 7          1510.87 21    23  5                                                                                   
            1533.2 4            1533.2 3    30  7                                                                                   
          1541.73 22          1541.75 18    14  4                                                                                   
          1546.13 16          1546.26 11    15  4                                                                                   
            1557.1 6          1557.40 16    24  5                                                                                   
            1572.5 9          1572.50 19    25  5                                                                                   
            1596.3 5          1596.67 15    26  5                                                                                   
            1612.2 6          1612.60 23    17  4                                                                                   
            1630.9 3          1631.07 14    13  3                                                                                   
          1673.29 10           1673.32 7     7  2                                                                                   
            1723.5 5            1723.7 4    36 10                                                                                   
          1744.16 15          1744.28 10     8  2                                                                                   
            1767.2 4            1767.5 3    40 11                                                                                   
            1781.5 3          1781.46 24    20  4                                                                                   
           1882.0 10          1882.00 15     9  2                                                                                   
           1883.09 7           1883.13 5     4  1                                                                                   
            1902.2 5            1902.0 4    35  8                                                                                   
            1932.1 3           1931.82 6    10  2                                                                                   
            2027.9 4          2027.74 19    25  4                                                                                   
            2094.6 3          2094.79 25    32  6                                                                                   
          2106.83 18          2106.76 12    11  2                                                                                   
            2181.7 5            2182.0 4    33  5                                                                                   
          2209.75 16          2209.61 10    13  2                                                                                   
            2347.6 3          2347.50 18    14  2                                                                                   
    (1      2352.4 3          2352.01 11    15  2                                                                                   
            2391.2 6            2391.0 4    47 10                                                                                   
            2418.5 3          2418.35 23    17  2                                                                                   
            2512.7 6            2512.9 3    37  5                                                                                   
            2547.0 4            2547.4 3    45  7                                                                                   
            2587.2 7          2587.20 24    20  2                                                                                   
            2648.1 6          2648.39 15    21  2                                                                                   
           2699.5 10          2698.84 22    22  2                                                                                   
    (1      2770.4 7            2769.6 4    43  6                                                                                   
           2814.4 11            2814.4 4    50  7                                                                                   
           2821.4 12          2821.63 11     8  1                                                                                   
            2857.6 4          2857.65 14    26  2                                                                                   
            2866.1 7            2866.2 3    44  6                                                                                   
            2944.5 9            2945.2 3    44  5                                                                                   
            2959.7 8            2959.7 3    45  5                                                                                   
            2982.9 6            2982.9 4    47  6                                                                                   
           3027.7 14            3027.3 3    39  4                                                                                   
            3062.4 5            3062.2 4    28  2                                                                                   
            3068.8 8            3068.5 3    40  4                                                                                   
            3077.2 8            3077.0 4    36  3                                                                                   
           3107.5 15            3108.3 5    42  4                                                                                   
            3137.8 6            3137.8 4    29  2                                                                                   
           3147.3 11            3147.7 4    50  6                                                                                   
            3184.3 6          3184.10 13    11  1                                                                                   
            3201.1 9            3201.9 5    38  3                                                                                   
            3206.4 9            3206.5 3    30  2                                                                                   
            3226.4 7            3226.7 4    50  5                                                                                   
           3254.4 10            3254.5 3    39  3                                                                                   
            3276.3 6            3275.9 5    51  6                                                                                   
            3287.2 3          3286.95 11    13  1                                                                                   
            3331.0 4            3331.1 3    31  2                                                                                   
           3399.8 11            3400.4 3    44  4                                                                                   
            3415.6 9            3414.9 3    45  4                                                                                   
           3430.2 11          3429.35 12    15  1                                                                                   
            3434.9 8            3434.7 3    32  2                                                                                   
            3458.1 4            3458.1 3    34  2                                                                                   
            3519.4 6            3519.9 4    48  4                                                                                   
            3630.2 6          3630.18 11    19  1                                                                                   
           3651.5 10            3650.8 5    46  3                                                                                   
           3655.2 16            3655.5 4    36  2                                                                                   
           3664.8 10          3664.54 24    20  1                                                                                   
            3777.0 9          3776.17 22    22  1                                                                                   
            3833.1 4            3833.0 3    39  2                                                                                   
            3874.1 8            3874.2 3    40  2                                                                                   
            3885.5 7            3885.8 5    41  2                                                                                   
           3913.9 18            3914.1 5    42  2                                                                                   
           3935.1 13          3934.98 15    26  1                                                                                   
    (1      4028.3 8            4027.4 3    27  1                                                                                   
           4109.8 13            4109.6 4    43  2                                                                                   
           4139.1 17            4139.6 4    28  1                                                                                   
           4215.9 15            4215.1 4    29  1                                                                                   
           4221.7 17            4220.6 3    45  2                                                                                   
           4337.3 15            4337.5 5    49  2                                                                                   
            4505.3 9            4504.5 5    52 51                                                                                   
    (1      4513.3 8            4512.1 3    32  1                                                                                   
    (1      4521.0 6            4520.3 4    33  1                                                                                   
            4535.5 9            4535.4 3    34  1                                                                                   
            4632.3 6            4632.7 4    52 50                                                                                   
            4724.3 8            4723.6 4    35  1                                                                                   
           4732.8 14            4732.8 4    36  1                                                                                   
            4783.0 6            4782.8 5    52 49                                                                                   
           4795.0 11            4794.7 5    52 48                                                                                   
           4798.3 12            4797.6 4    52 47                                                                                   
            4858.4 8            4857.7 5    38  1                                                                                   
            4891.3 6            4891.0 5    52 46                                                                                   
            4899.4 5            4899.7 3    52 45                                                                                   
            4914.0 4            4914.2 3    52 44                                                                                   
           4992.0 11            4991.4 5    42  1                                                                                   
    (1      5011.4 6            5010.8 4    52 43                                                                                   
            5206.3 6            5206.3 5    52 42                                                                                   
            5234.3 6            5234.5 5    52 41                                                                                   
            5245.9 4            5246.1 3    52 40                                                                                   
            5287.6 5            5287.4 3    52 39                                                                                   
           5297.3 11            5297.9 3    45  1                                                                                   
            5340.0 9            5339.9 5    52 38                                                                                   
            5345.9 6            5346.4 3    52 37                                                                                   
    (1      5403.9 8            5402.9 4    48  1                                                                                   
            5415.3 9            5414.8 5    49  1                                                                                   
            5464.4 8            5464.8 4    52 36                                                                                   
    (1      5474.7 6            5474.1 4    52 35                                                                                   
            5662.3 4            5662.3 3    52 34                                                                                   
            5677.9 9            5677.4 4    52 33                                                                                   
            5685.6 9            5685.6 3    52 32                                                                                   
    (1      5788.7 5            5789.2 3    52 31                                                                                   
            5913.9 6            5913.9 3    52 30                                                                                   
            5982.6 5            5982.5 4    52 29                                                                                   
            6058.4 8            6058.1 4    52 28                                                                                   
    (1      6171.5 8            6170.3 3    52 27                                                                                   
            6262.6 5          6262.66 17    52 26                                                                                   
            6287.0 7          6286.83 21    52 25                                                                                   
            6301.6 7          6301.93 19    52 24                                                                                   
            6348.5 7          6348.46 23    52 23                                                                                   
            6421.4 6          6421.46 24    52 22                                                                                   
            6471.4 6          6471.91 18    52 21                                                                                   
            6533.3 9            6533.1 3    52 20                                                                                   
           6568.0 10          6567.44 15    52 19                                                                                   
            6610.8 9          6610.58 22    52 18                                                                                   
            6701.9 7          6701.94 25    52 17                                                                                   
            6768.4 7          6768.27 16    52 15                                                                                   
           6773.7 11          6772.78 21    52 14                                                                                   
            6910.6 6          6910.65 15    52 13                                                                                   
            7013.3 8          7013.50 16    52 11                                                                                   
            7188.4 6          7188.42 12    52 10                                                                                   
           7237.7 11          7238.24 18    52  9                                                                                   
           7446.3 11          7446.90 13    52  7                                                                                   
           7779.5 17          7780.20 12    52  6                                                                                   
            7859.3 7          7859.18 12    52  5                                                                                   
            8314.7 9          8314.37 12    52  4                                                                                   
            9120.1 9          9120.03 12    52  2                                                                                   
      DATA SET  1. ENERGIES CORRECTED BY    .0000000+-  .0000000 KEV     CHISQ/F =  .4428         F=124
      CHISQ/F =  .4428      (FIT OF  176GAMMAS -  51LEVELS)
